time,open,high,low,close
1382562840,202.46,202.46,202.46,202.46
1382562900,202.46,202.46,202.46,202.46
1382562960,202.3,202.3,201.77,202.3
1382563020,202.21,202.3,202.21,202.3
1382563080,201.8,201.8,201.8,201.8
1382563140,NaN,NaN,NaN,NaN
1382563200,202.3,202.3,201.85,202.3
1382563260,202.31,202.48,202.3,202.48
1382563320,202.3,202.3,202.3,202.3
1382563380,202.47,202.48,202.47,202.48
1382563440,202.31,202.31,202.3,202.3
1382563500,202.48,202.48,202.3,202.3
1382563560,NaN,NaN,NaN,NaN
1382563620,202.3,202.3,201.71,201.71
1382563680,NaN,NaN,NaN,NaN
1382563740,NaN,NaN,NaN,NaN
1382563800,NaN,NaN,NaN,NaN
1382563860,201.72,202.29,201.65,202.29
1382563920,202.17,202.29,201.73,201.73
1382563980,201.74,202.17,201.74,202.17
1382564040,202.3,202.3,202.3,202.3
1382564100,201.77,201.77,201.77,201.77
1382564160,201.77,201.77,201.75,201.75
1382564220,201.75,201.75,201.75,201.75
1382564280,201.75,201.75,201.75,201.75
1382564340,201.75,201.75,201.75,201.75
1382564400,201.75,201.75,201.75,201.75
1382564460,201.74,201.75,201.56,201.75
1382564520,201.75,201.76,201.75,201.76
1382564580,201.76,201.76,201.76,201.76
1382564640,201.76,201.76,201.75,201.75
1382564700,201.75,201.75,201.59,201.59
1382564760,201.59,201.59,201.59,201.59
1382564820,201.59,201.59,201.59,201.59
1382564880,201.59,201.59,201.33,201.59
1382564940,201.59,201.75,201.04,201.04
1382565000,201.03,201.75,200.57,201.75
1382565060,201.75,201.75,201.75,201.75
1382565120,201.75,201.76,201.75,201.76
1382565180,201.75,201.75,201.52,201.52
1382565240,201.75,201.76,201.53,201.76
1382565300,201.75,201.75,201.53,201.53
1382565360,201.53,201.76,201.53,201.76
1382565420,201.76,201.76,201.76,201.76
1382565480,201.76,201.76,201.53,201.76
1382565540,201.53,201.76,201.53,201.76
1382565600,201.76,201.76,201.76,201.76
1382565660,201.76,201.76,201.53,201.76
1382565720,201.76,201.97,201.76,201.97
1382565780,201.97,201.97,201.97,201.97
1382565840,201.76,202,201.76,202
1382565900,201.53,202.3,201.53,202.3
1382565960,201.97,202.3,201.97,202.3
1382566020,202.3,202.3,201.91,201.91
1382566080,201.91,202.3,201.91,202.3
1382566140,202.3,202.3,201.91,202.3
1382566200,NaN,NaN,NaN,NaN
1382566260,NaN,NaN,NaN,NaN
1382566320,202.3,202.3,202.3,202.3
1382566380,201.92,201.92,201.92,201.92
1382566440,202.3,202.6,202.3,202.6
1382566500,202.6,202.63,202.6,202.63
1382566560,202.63,202.64,202.63,202.64
1382566620,202.64,202.66,202.64,202.66
1382566680,202.65,202.66,202.6,202.66
1382566740,202.66,202.66,202.65,202.65
1382566800,202.66,202.69,202.66,202.69
1382566860,202.76,202.76,202.76,202.76
1382566920,202.66,202.66,202.6,202.6
1382566980,202.66,202.66,202.6,202.66
1382567040,202.76,202.9,202.76,202.9
1382567100,202.9,202.9,202.9,202.9
1382567160,202.94,202.94,202.94,202.94
1382567220,202.94,202.97,202.94,202.97
1382567280,202.97,202.98,202.94,202.94
1382567340,202.94,202.94,202.9,202.9
1382567400,202.94,202.98,202.02,202.9
1382567460,202.9,202.97,202.9,202.97
1382567520,202.97,202.97,202.9,202.9
1382567580,202.97,202.97,202.97,202.97
1382567640,202.97,202.98,202.97,202.98
1382567700,202.98,202.98,202.9,202.9
1382567760,202.9,202.98,202.9,202.98
1382567820,202.98,202.98,202.98,202.98
1382567880,202.98,202.98,202.9,202.9
1382567940,202.9,202.9,202.9,202.9
1382568000,202.98,202.98,202.98,202.98
1382568060,202.9,202.9,202.9,202.9
1382568120,NaN,NaN,NaN,NaN
1382568180,202.98,202.98,202.96,202.96
1382568240,NaN,NaN,NaN,NaN
1382568300,202.98,202.98,202.98,202.98
1382568360,NaN,NaN,NaN,NaN
1382568420,202.98,202.98,202.96,202.98
1382568480,202.97,202.98,202.9,202.98
1382568540,202.9,202.98,202.9,202.98
1382568600,202.21,202.98,202.2,202.65
1382568660,202.65,202.97,202.65,202.97
1382568720,202.97,202.97,202.65,202.65
1382568780,202.5,202.5,202.5,202.5
1382568840,202.5,202.5,202.5,202.5
1382568900,202.5,202.5,202.5,202.5
1382568960,202.69,202.97,202.69,202.97
1382569020,202.97,202.98,202.97,202.98
1382569080,202.98,202.99,202.98,202.99
1382569140,202.99,203,202.98,203
1382569200,202.98,202.98,202.98,202.98
